AIRPORT,Year,Month,INBOUND DOM,OUTBOUND DOM,INBOUND INTER,OUTBOUND INTER
ADELAIDE,2009,1,2800,2805,152,152
ADELAIDE,2009,2,2721,2718,133,133
ADELAIDE,2009,3,3127,3135,146,147
ADELAIDE,2009,4,3031,3039,142,142
ADELAIDE,2009,5,2933,2937,143,143
ADELAIDE,2009,6,2814,2824,147,146
ADELAIDE,2009,7,2956,2952,148,147
ADELAIDE,2009,8,2888,2898,141,141
ADELAIDE,2009,9,2871,2877,148,148
ADELAIDE,2009,10,2953,2953,158,157
ADELAIDE,2009,11,2789,2798,150,151
ADELAIDE,2009,12,2836,2829,153,153
ADELAIDE,2010,1,2815,2813,154,155
ADELAIDE,2010,2,2757,2756,132,133
ADELAIDE,2010,3,3202,3208,146,144
ADELAIDE,2010,4,3164,3147,139,139
ADELAIDE,2010,5,3210,3208,133,134
ADELAIDE,2010,6,3078,3081,131,130
ADELAIDE,2010,7,3218,3226,134,135
ADELAIDE,2010,8,3123,3128,133,134
ADELAIDE,2010,9,3093,3093,132,132
ADELAIDE,2010,10,3174,3169,137,137
ADELAIDE,2010,11,3060,3046,132,132
ADELAIDE,2010,12,3169,3148,140,137
ADELAIDE,2011,1,2945,2944,136,137
ADELAIDE,2011,2,2719,2711,121,121
ADELAIDE,2011,3,3127,3129,138,137
ADELAIDE,2011,4,2992,2988,144,144
ADELAIDE,2011,5,3066,3063,146,147
ADELAIDE,2011,6,2761,2763,136,134
ADELAIDE,2011,7,2997,2994,146,146
ADELAIDE,2011,8,3004,3002,143,142
ADELAIDE,2011,9,2881,2873,144,144
ADELAIDE,2011,10,2879,2883,151,152
ADELAIDE,2011,11,2822,2825,151,150
ADELAIDE,2011,12,2845,2818,172,173
ADELAIDE,2012,1,2690,2702,175,175
ADELAIDE,2012,2,2734,2730,146,145
ADELAIDE,2012,3,2992,2994,154,155
ADELAIDE,2012,4,2848,2842,150,151
ADELAIDE,2012,5,2875,2868,155,155
ADELAIDE,2012,6,2738,2738,155,155
ADELAIDE,2012,7,3009,3016,173,174
ADELAIDE,2012,8,3060,3058,167,168
ADELAIDE,2012,9,2925,2917,170,171
ADELAIDE,2012,10,3071,3070,174,176
ADELAIDE,2012,11,3061,3048,194,194
ADELAIDE,2012,12,2991,2981,207,207
ADELAIDE,2013,1,2866,2869,208,207
ADELAIDE,2013,2,2689,2691,192,193
ADELAIDE,2013,3,3021,3011,210,211
ADELAIDE,2013,4,3000,3004,194,194
ADELAIDE,2013,5,3027,3023,178,179
ADELAIDE,2013,6,2807,2813,175,174
ADELAIDE,2013,7,3067,3070,195,195
ADELAIDE,2013,8,3024,3019,177,179
ADELAIDE,2013,9,3011,3009,191,191
ADELAIDE,2013,10,3115,3112,191,192
ADELAIDE,2013,11,2958,2952,203,201
ADELAIDE,2013,12,2956,2947,239,241
ADELAIDE,2014,1,2862,2860,251,251
ADELAIDE,2014,2,2703,2706,217,215
ADELAIDE,2014,3,3090,3092,232,233
ADELAIDE,2014,4,3042,3042,233,236
ADELAIDE,2014,5,3091,3084,230,232
ADELAIDE,2014,6,2979,2981,228,232
ADELAIDE,2014,7,3156,3162,238,239
ADELAIDE,2014,8,3103,3110,225,224
ADELAIDE,2014,9,3112,3111,195,195
ADELAIDE,2014,10,3203,3200,203,206
ADELAIDE,2014,11,2979,2988,193,193
ADELAIDE,2014,12,3039,3033,223,224
ADELAIDE,2015,1,2837,2837,223,224
ADELAIDE,2015,2,2746,2750,175,175
ADELAIDE,2015,3,3135,3138,178,181
ADELAIDE,2015,4,3100,3104,182,180
ADELAIDE,2015,5,3170,3166,182,182
ADELAIDE,2015,6,3048,3049,176,176
ADELAIDE,2015,7,3248,3242,174,173
ADELAIDE,2015,8,3137,3138,161,165
ADELAIDE,2015,9,3156,3161,168,171
ADELAIDE,2015,10,3220,3213,180,178
ADELAIDE,2015,11,3127,3126,153,146
ADELAIDE,2015,12,3140,3126,195,194
ADELAIDE,2016,1,2951,2964,199,202
ADELAIDE,2016,2,3020,3021,165,166
ADELAIDE,2016,3,3191,3190,168,171
ADELAIDE,2016,4,3083,3071,171,172
ADELAIDE,2016,5,3042,3049,198,198
ADELAIDE,2016,6,2915,2910,191,191
ADELAIDE,2016,7,3156,3151,215,217
ADELAIDE,2016,8,3216,3201,192,195
ADELAIDE,2016,9,3155,3151,196,194
ADELAIDE,2016,10,3227,3236,208,208
ADELAIDE,2016,11,3160,3167,191,193
ADELAIDE,2016,12,3085,3066,228,229
ADELAIDE,2017,1,2847,2852,223,221
ADELAIDE,2017,2,2844,2852,176,176
ADELAIDE,2017,3,3248,3246,194,193
ADELAIDE,2017,4,2980,2987,183,184
ADELAIDE,2017,5,3057,3054,183,183
ADELAIDE,2017,6,2916,2911,178,178
ADELAIDE,2017,7,3088,3081,212,212
ADELAIDE,2017,8,3101,3104,208,209
ADELAIDE,2017,9,3091,3081,207,204
ADELAIDE,2017,10,3193,3212,204,205
ADELAIDE,2017,11,3148,3148,184,182
ADELAIDE,2017,12,3113,3098,234,233
ADELAIDE,2018,1,3005,3005,259,259
ADELAIDE,2018,2,2850,2844,189,188
ADELAIDE,2018,3,3158,3150,201,198
ADELAIDE,2018,4,2989,2999,198,198
ADELAIDE,2018,5,3007,3017,187,186
ADELAIDE,2018,6,2862,2864,187,187
ADELAIDE,2018,7,3135,3146,207,208
ADELAIDE,2018,8,3118,3120,204,202
ADELAIDE,2018,9,3049,3046,200,201
ADELAIDE,2018,10,3262,3236,213,213
ADELAIDE,2018,11,3121,3114,215,215
ADELAIDE,2018,12,3016,3009,230,230
ADELAIDE,2019,1,2995,3000,237,237
ADELAIDE,2019,2,2874,2868,199,199
ADELAIDE,2019,3,3193,3187,205,206
ADELAIDE,2019,4,3062,3056,211,211
ADELAIDE,2019,5,3152,3141,206,205
ADELAIDE,2019,6,2951,2948,212,214
ADELAIDE,2019,7,3205,3210,250,249
ADELAIDE,2019,8,3106,3102,234,233
ADELAIDE,2019,9,3073,3067,235,238
ADELAIDE,2019,10,3239,3228,239,241
ADELAIDE,2019,11,3055,3053,220,222
ADELAIDE,2019,12,3006,2995,263,267
ADELAIDE,2020,1,2855,2851,278,281
ADELAIDE,2020,2,2835,2831,201,200
ADELAIDE,2020,3,2547,2527,138,137
ADELAIDE,2020,4,440,414,0,0
ADELAIDE,2020,5,430,418,4,4
ADELAIDE,2020,6,476,471,10,13
ADELAIDE,2020,7,678,685,14,15
ADELAIDE,2020,8,752,762,20,21
ADELAIDE,2020,9,891,893,21,23
ADELAIDE,2020,10,1157,1169,25,26
ADELAIDE,2020,11,1157,1158,33,32
ADELAIDE,2020,12,1534,1528,35,37
ADELAIDE,2021,1,1489,1499,40,38
ADELAIDE,2021,2,1408,1412,34,35
ADELAIDE,2021,3,2038,2045,37,39
ADELAIDE,2021,4,2390,2385,37,38
ADELAIDE,2021,5,2470,2470,48,48
ADELAIDE,2021,6,2069,2068,46,47
ADELAIDE,2021,7,1497,1479,48,47
ADELAIDE,2021,8,1066,1070,36,36
ADELAIDE,2021,9,1371,1364,35,35
ADELAIDE,2021,10,1490,1489,40,39
ADELAIDE,2021,11,1747,1755,35,36
ADELAIDE,2021,12,2410,2405,52,51
ADELAIDE,2022,1,1910,1912,71,71
ADELAIDE,2022,2,1752,1733,65,65
ADELAIDE,2022,3,2489,2468,72,72
ADELAIDE,2022,4,2795,2793,74,75
ADELAIDE,2022,5,2855,2845,95,95
ADELAIDE,2022,6,2752,2752,104,105
