AIRPORT,Year,INBOUND FRIEGHT,OUTBOUND FREIGHT,INBOUND MAIL,OUTBOUND MAIL
ADELAIDE,1985-86,1381.79,2944.208,3.795,73.862
ADELAIDE,1986-87,1499.049,4026.708,5.778,88.035
ADELAIDE,1987-88,2253.643,4073.178,8.321,83.152
ADELAIDE,1988-89,2624.056,4252.926,68.863,126.737
ADELAIDE,1989-90,2236.388,4765.512,88.188,170.766
ADELAIDE,1990-91,2511.45,5495.856,88.281,149.52
ADELAIDE,1991-92,2680.605,6233.112,114.216,139.021
ADELAIDE,1992-93,2604.951,6939.591,143.85,151.243
ADELAIDE,1993-94,2865.566,7325.465,156.095,122.913
ADELAIDE,1994-95,3226.516,7389.115,143.353,111.372
ADELAIDE,1995-96,2864.189,6892.238,177.524,106.525
ADELAIDE,1996-97,3371.755,7571.736,192.767,98.368
ADELAIDE,1997-98,3321.922,6782.881,174.977,54.994
ADELAIDE,1998-99,3243.428,6381.758,204.33,68.296
ADELAIDE,1999-00,4208.093,6896.313,251.96,263.257
ADELAIDE,2000-01,4169.157,8598.367,266.225,279.227
ADELAIDE,2001-02,3608.269,6995.919,242.049,334.134
ADELAIDE,2002-03,5187.555,7000.155,150.681,223.829
ADELAIDE,2003-04,5828.827,7727.869,85.788,85.571
ADELAIDE,2004-05,6616.521,7815.744,102.499,90.534
ADELAIDE,2005-06,8198.265,8844.056,190.443,101.31
ADELAIDE,2006-07,9346.114,9322.232,272.257,114.607
ADELAIDE,2007-08,9314.475,9829.506,12.756,81.927
ADELAIDE,2008-09,7118.181,11350.356,0.005,82.338
ADELAIDE,2009-10,8500.301,10958.707,2.464,83.429
ADELAIDE,2010-11,8627.111,9175.621,1.348,69.588
ADELAIDE,2011-12,9658.083,8491.281,0.578,68.578
ADELAIDE,2012-13,11163.341,10182.048,0.036,57.683
ADELAIDE,2013-14,10201.062,9602.228,0.487,34.004
ADELAIDE,2014-15,10628.73,10193.524,0.0,38.692
ADELAIDE,2015-16,9343.708,13185.652,0.0,1.664
ADELAIDE,2016-17,11161.674,14560.326,0.051,0.053
ADELAIDE,2017-18,14399.673,17808.676,0.036,0.045
ADELAIDE,2018-19,13929.916,18277.403,0.054,0.06
ADELAIDE,2019-20,9788.212,12848.679,0.026,0.058
ADELAIDE,2020-21,4371.836,5986.498,0.02,0.016
ADELAIDE,2021-22,4878.722,6581.994,0.009,0.006
ADELAIDE,2022-23,5279.842,5884.813,0.803,3.386
AVALON,1986-87,0.0,0.0,0.0,0.0
AVALON,1987-88,0.0,0.0,0.0,0.0
AVALON,1988-89,0.0,0.0,0.0,0.0
AVALON,1989-90,0.0,0.0,0.0,0.0
AVALON,1990-91,0.0,0.0,0.0,0.0
AVALON,1991-92,0.0,0.0,0.0,0.0
AVALON,1992-93,0.0,0.0,0.0,0.0
AVALON,1993-94,0.0,0.0,0.0,0.0
AVALON,1994-95,0.0,0.0,0.0,0.0
AVALON,1995-96,0.0,0.0,0.0,0.0
AVALON,1996-97,0.0,0.0,0.0,0.0
AVALON,1997-98,0.0,0.0,0.0,0.0
AVALON,1998-99,0.0,0.0,0.0,0.0
AVALON,1999-00,0.0,0.0,0.0,0.0
AVALON,2000-01,0.0,0.0,0.0,0.0
AVALON,2001-02,0.0,0.0,0.0,0.0
AVALON,2002-03,0.0,0.0,0.0,0.0
AVALON,2003-04,0.0,0.0,0.0,0.0
AVALON,2004-05,0.0,0.0,0.0,0.0
AVALON,2005-06,0.0,0.0,0.0,0.0
AVALON,2006-07,0.0,0.0,0.0,0.0
AVALON,2007-08,0.0,0.0,0.0,0.0
AVALON,2008-09,0.0,0.0,0.0,0.0
AVALON,2009-10,0.0,0.0,0.0,0.0
AVALON,2010-11,0.0,0.0,0.0,0.0
AVALON,2011-12,0.0,0.0,0.0,0.0
AVALON,2012-13,0.0,0.0,0.0,0.0
AVALON,2013-14,0.0,0.0,0.0,0.0
AVALON,2014-15,0.0,0.0,0.0,0.0
AVALON,2015-16,0.0,0.0,0.0,0.0
AVALON,2016-17,0.0,0.0,0.0,0.0
AVALON,2017-18,0.0,0.0,0.0,0.0
AVALON,2018-19,1468.783,3231.111,0.0,0.0
AVALON,2019-20,2568.771,5083.274,0.0,0.0
AVALON,2020-21,55.538,1.007,0.0,0.0
AVALON,2021-22,0.0,0.0,0.0,0.0
AVALON,2022-23,6.58,125.015,0.0,0.0
BRISBANE,1985-86,5010.137,7838.223,37.029,219.085
BRISBANE,1986-87,5051.164,10203.184,63.182,295.068
BRISBANE,1987-88,6353.162,13879.58,55.202,410.321
BRISBANE,1988-89,10093.088,16941.116,295.336,692.163
BRISBANE,1989-90,11117.171,19323.051,359.235,787.771
BRISBANE,1990-91,11768.521,20401.223,360.337,821.031
BRISBANE,1991-92,12961.862,23627.007,379.634,920.565
BRISBANE,1992-93,12627.943,28490.443,520.739,1062.619
BRISBANE,1993-94,15728.679,33677.738,584.699,1154.696
BRISBANE,1994-95,18451.395,35141.505,936.92,864.599
BRISBANE,1995-96,18824.726,37276.937,988.566,1066.808
BRISBANE,1996-97,24375.983,42374.24,1322.899,964.725
BRISBANE,1997-98,28841.97,46487.414,837.717,886.144
BRISBANE,1998-99,29557.003,43233.18,990.021,756.633
BRISBANE,1999-00,29934.606,47456.895,1195.167,1527.136
BRISBANE,2000-01,26424.426,52318.557,982.408,1721.054
BRISBANE,2001-02,25856.149,47805.163,893.453,2263.316
BRISBANE,2002-03,28932.645,43562.872,790.256,1871.344
BRISBANE,2003-04,32806.341,36245.343,1040.125,1677.591
BRISBANE,2004-05,41317.535,39662.922,1040.866,1765.432
BRISBANE,2005-06,44908.66,40301.62,1145.254,1760.661
BRISBANE,2006-07,45285.993,43771.127,1091.463,2208.055
BRISBANE,2007-08,45737.117,42639.875,1864.765,1854.285
BRISBANE,2008-09,37329.584,43505.667,1914.452,1734.747
BRISBANE,2009-10,42224.142,45064.934,2324.41,1386.549
BRISBANE,2010-11,52195.784,45912.184,2998.077,1177.03
BRISBANE,2011-12,55761.375,48460.629,3465.576,1077.167
BRISBANE,2012-13,53666.605,49107.384,3520.229,1174.899
BRISBANE,2013-14,54294.302,55926.568,2950.724,1034.706
BRISBANE,2014-15,57050.964,63852.82,2392.566,1188.099
BRISBANE,2015-16,50998.405,70688.678,1746.452,1412.893
BRISBANE,2016-17,54952.769,71407.22,1678.113,1652.91
BRISBANE,2017-18,61496.323,78316.127,1627.767,1722.76
BRISBANE,2018-19,60505.621,79257.093,1426.127,2364.146
BRISBANE,2019-20,45398.676,62197.141,1355.604,2056.073
BRISBANE,2020-21,25880.218,36338.437,1066.037,1035.921
BRISBANE,2021-22,37582.478,41632.913,1122.692,1248.682
BRISBANE,2022-23,33181.158,38341.658,775.795,2330.041
BROOME,1986-87,0.0,0.0,0.0,0.0
BROOME,1987-88,0.0,0.0,0.0,0.0
BROOME,1988-89,0.0,0.0,0.0,0.0
BROOME,1989-90,0.0,0.0,0.0,0.0
BROOME,1990-91,0.0,0.0,0.0,0.0
BROOME,1991-92,0.0,0.0,0.0,0.0
BROOME,1992-93,0.0,0.0,0.0,0.0
BROOME,1993-94,0.0,0.0,0.0,0.0
BROOME,1994-95,0.0,0.0,0.0,0.0
BROOME,1995-96,0.0,0.173,0.0,0.0
BROOME,1996-97,0.0,0.0,0.0,0.0
BROOME,1997-98,0.0,0.0,0.0,0.0
BROOME,1998-99,0.0,0.0,0.0,0.0
BROOME,1999-00,0.0,0.0,0.0,0.0
BROOME,2000-01,0.0,0.0,0.0,0.0
BROOME,2001-02,0.0,0.0,0.0,0.0
BROOME,2002-03,0.0,0.0,0.0,0.0
BROOME,2003-04,0.0,0.0,0.0,0.0
BROOME,2004-05,0.0,0.0,0.0,0.0
BROOME,2005-06,0.0,0.0,0.0,0.0
BROOME,2006-07,0.0,0.0,0.0,0.0
BROOME,2007-08,0.0,0.0,0.0,0.0
BROOME,2008-09,0.0,0.0,0.0,0.0
BROOME,2009-10,0.0,0.0,0.0,0.0
BROOME,2010-11,0.0,0.0,0.0,0.0
BROOME,2011-12,0.0,0.0,0.0,0.0
BROOME,2012-13,0.0,0.0,0.0,0.0
BROOME,2013-14,0.0,0.0,0.0,0.0
BROOME,2014-15,0.0,0.0,0.0,0.0
BROOME,2015-16,0.0,0.0,0.0,0.0
BROOME,2016-17,0.0,0.0,0.0,0.0
BROOME,2017-18,0.0,0.0,0.0,0.0
BROOME,2018-19,0.0,0.0,0.0,0.0
BROOME,2019-20,0.0,0.0,0.0,0.0
BROOME,2020-21,0.0,0.0,0.0,0.0
BROOME,2021-22,0.0,0.0,0.0,0.0
BROOME,2022-23,0.0,0.0,0.0,0.0
CAIRNS,1985-86,25.347,363.637,0.0,0.0
CAIRNS,1986-87,150.165,785.83,0.0,0.41
CAIRNS,1987-88,258.259,1104.081,0.44,2.15
CAIRNS,1988-89,933.584,1013.648,13.459,39.908
CAIRNS,1989-90,840.362,1440.833,14.134,51.253
CAIRNS,1990-91,1166.887,1775.851,7.512,51.908
CAIRNS,1991-92,1844.836,2722.031,5.543,72.314
CAIRNS,1992-93,2081.575,5588.661,1.793,68.351
CAIRNS,1993-94,2370.665,5889.019,0.485,75.078
CAIRNS,1994-95,2991.004,9787.992,0.634,66.681
CAIRNS,1995-96,2789.627,11812.875,0.981,48.914
CAIRNS,1996-97,2711.832,11319.827,0.922,53.53
CAIRNS,1997-98,3398.634,9929.579,6.188,47.325
CAIRNS,1998-99,4154.042,8437.25,5.471,80.438
CAIRNS,1999-00,2284.503,7040.366,1.192,60.085
CAIRNS,2000-01,1516.913,7413.11,3.6,82.631
