AIRPORT,Year,total_flights
ADELAIDE,2009,73005
ADELAIDE,2010,77371
ADELAIDE,2011,73486
ADELAIDE,2012,74004
ADELAIDE,2013,75771
ADELAIDE,2014,78076
ADELAIDE,2015,78406
ADELAIDE,2016,79036
ADELAIDE,2017,78018
ADELAIDE,2018,78097
ADELAIDE,2019,79199
ADELAIDE,2020,33027
ADELAIDE,2021,43863
ADELAIDE,2022,65007
ADELAIDE,2023,76339
ADELAIDE,2024,25507
BALLINA,2009,3912
BALLINA,2010,3720
BALLINA,2011,3760
BALLINA,2012,4238
BALLINA,2013,4535
BALLINA,2014,4378
BALLINA,2015,4243
BALLINA,2016,4495
BALLINA,2017,4605
BALLINA,2018,4586
BALLINA,2019,4487
BALLINA,2020,4049
BALLINA,2021,6030
BALLINA,2022,6831
BALLINA,2023,5781
BALLINA,2024,1668
BRISBANE,2009,154917
BRISBANE,2010,164896
BRISBANE,2011,172028
BRISBANE,2012,184286
BRISBANE,2013,192323
BRISBANE,2014,194491
BRISBANE,2015,194409
BRISBANE,2016,191789
BRISBANE,2017,191492
BRISBANE,2018,190169
BRISBANE,2019,195170
BRISBANE,2020,84854
BRISBANE,2021,100209
BRISBANE,2022,151386
BRISBANE,2023,183080
BRISBANE,2024,62259
CAIRNS,2009,37408
CAIRNS,2010,41187
CAIRNS,2011,43067
CAIRNS,2012,44410
CAIRNS,2013,45522
CAIRNS,2014,44099
CAIRNS,2015,46079
CAIRNS,2016,49318
CAIRNS,2017,48423
CAIRNS,2018,46862
CAIRNS,2019,45681
CAIRNS,2020,22614
CAIRNS,2021,31031
CAIRNS,2022,39006
CAIRNS,2023,42291
CAIRNS,2024,14513
CANBERRA,2009,44726
CANBERRA,2010,43894
CANBERRA,2011,43351
CANBERRA,2012,42017
CANBERRA,2013,41700
CANBERRA,2014,39471
CANBERRA,2015,38376
CANBERRA,2016,38523
CANBERRA,2017,39359
CANBERRA,2018,40010
CANBERRA,2019,40081
CANBERRA,2020,13409
CANBERRA,2021,17934
CANBERRA,2022,35916
CANBERRA,2023,40165
CANBERRA,2024,12422
DARWIN,2009,25256
DARWIN,2010,27133
DARWIN,2011,27421
DARWIN,2012,27001
DARWIN,2013,27268
DARWIN,2014,27743
DARWIN,2015,27613
DARWIN,2016,28401
DARWIN,2017,27682
DARWIN,2018,25934
DARWIN,2019,25348
DARWIN,2020,15054
DARWIN,2021,21531
DARWIN,2022,23972
DARWIN,2023,25072
DARWIN,2024,7956
GOLD COAST,2009,33102
GOLD COAST,2010,37677
GOLD COAST,2011,36024
GOLD COAST,2012,38291
GOLD COAST,2013,38690
GOLD COAST,2014,38773
GOLD COAST,2015,39838
GOLD COAST,2016,42476
GOLD COAST,2017,42280
GOLD COAST,2018,41451
GOLD COAST,2019,40513
GOLD COAST,2020,11925
GOLD COAST,2021,17853
GOLD COAST,2022,38317
GOLD COAST,2023,39412
GOLD COAST,2024,13967
HAMILTON ISLAND,2009,3981
HAMILTON ISLAND,2010,4266
HAMILTON ISLAND,2011,4141
HAMILTON ISLAND,2012,3810
HAMILTON ISLAND,2013,3954
HAMILTON ISLAND,2014,4212
HAMILTON ISLAND,2015,4332
HAMILTON ISLAND,2016,5073
HAMILTON ISLAND,2017,4697
HAMILTON ISLAND,2018,4605
HAMILTON ISLAND,2019,4731
HAMILTON ISLAND,2020,1946
HAMILTON ISLAND,2021,3154
HAMILTON ISLAND,2022,4270
HAMILTON ISLAND,2023,3987
HAMILTON ISLAND,2024,1338
HOBART,2009,14614
HOBART,2010,15946
HOBART,2011,15176
HOBART,2012,15432
HOBART,2013,16564
HOBART,2014,16861
HOBART,2015,17556
HOBART,2016,18761
HOBART,2017,18947
HOBART,2018,19477
HOBART,2019,20268
HOBART,2020,8121
HOBART,2021,13861
HOBART,2022,20170
HOBART,2023,20813
HOBART,2024,7676
KARRATHA,2009,6347
KARRATHA,2010,7197
KARRATHA,2011,8039
KARRATHA,2012,8914
KARRATHA,2013,8875
KARRATHA,2014,8509
KARRATHA,2015,7991
KARRATHA,2016,7144
KARRATHA,2017,6221
KARRATHA,2018,5975
KARRATHA,2019,5976
KARRATHA,2020,3463
KARRATHA,2021,4536
KARRATHA,2022,4615
KARRATHA,2023,5007
KARRATHA,2024,1902
LAUNCESTON,2009,12825
LAUNCESTON,2010,13705
LAUNCESTON,2011,12703
LAUNCESTON,2012,13479
LAUNCESTON,2013,14912
LAUNCESTON,2014,14641
LAUNCESTON,2015,14474
LAUNCESTON,2016,14620
LAUNCESTON,2017,14826
LAUNCESTON,2018,15098
LAUNCESTON,2019,15654
LAUNCESTON,2020,8214
LAUNCESTON,2021,10895
LAUNCESTON,2022,13965
LAUNCESTON,2023,15727
LAUNCESTON,2024,5652
MACKAY,2009,12372
MACKAY,2010,14732
MACKAY,2011,14745
MACKAY,2012,14521
MACKAY,2013,15130
MACKAY,2014,13673
MACKAY,2015,12574
MACKAY,2016,11437
MACKAY,2017,10134
MACKAY,2018,10332
MACKAY,2019,11128
MACKAY,2020,7000
MACKAY,2021,9106
MACKAY,2022,9983
MACKAY,2023,10945
MACKAY,2024,3651
MELBOURNE,2009,187108
MELBOURNE,2010,204582
MELBOURNE,2011,203808
MELBOURNE,2012,213223
MELBOURNE,2013,218584
MELBOURNE,2014,225280
MELBOURNE,2015,232436
MELBOURNE,2016,236246
MELBOURNE,2017,238619
MELBOURNE,2018,242813
MELBOURNE,2019,243070
MELBOURNE,2020,80631
MELBOURNE,2021,91279
MELBOURNE,2022,193272
MELBOURNE,2023,232874
MELBOURNE,2024,81755
NEWCASTLE,2009,14157
NEWCASTLE,2010,14320
NEWCASTLE,2011,15079
NEWCASTLE,2012,17270
NEWCASTLE,2013,16764
NEWCASTLE,2014,12921
NEWCASTLE,2015,14278
NEWCASTLE,2016,17275
NEWCASTLE,2017,17600
NEWCASTLE,2018,14109
NEWCASTLE,2019,14299
NEWCASTLE,2020,5395
NEWCASTLE,2021,8180
NEWCASTLE,2022,13005
NEWCASTLE,2023,14003
NEWCASTLE,2024,4409
PERTH,2009,80234
PERTH,2010,85470
PERTH,2011,89939
PERTH,2012,98041
PERTH,2013,100051
PERTH,2014,99280
PERTH,2015,95404
PERTH,2016,94613
PERTH,2017,92259
PERTH,2018,92865
PERTH,2019,92381
PERTH,2020,41635
PERTH,2021,51280
PERTH,2022,68086
PERTH,2023,88411
PERTH,2024,32006
PROSERPINE,2009,1455
PROSERPINE,2010,1448
PROSERPINE,2011,1430
PROSERPINE,2012,1871
PROSERPINE,2013,1911
PROSERPINE,2014,2167
PROSERPINE,2015,2489
PROSERPINE,2016,2322
PROSERPINE,2017,2990
PROSERPINE,2018,3015
PROSERPINE,2019,2945
PROSERPINE,2020,1612
PROSERPINE,2021,2913
PROSERPINE,2022,3700
PROSERPINE,2023,4133
PROSERPINE,2024,1342
ROCKHAMPTON,2009,12742
ROCKHAMPTON,2010,14602
ROCKHAMPTON,2011,12603
ROCKHAMPTON,2012,13665
ROCKHAMPTON,2013,13758
ROCKHAMPTON,2014,12503
ROCKHAMPTON,2015,11139
ROCKHAMPTON,2016,10536
ROCKHAMPTON,2017,9832
ROCKHAMPTON,2018,9707
ROCKHAMPTON,2019,9371
ROCKHAMPTON,2020,5529
ROCKHAMPTON,2021,7463
ROCKHAMPTON,2022,7687
ROCKHAMPTON,2023,9933
ROCKHAMPTON,2024,3253
SUNSHINE COAST,2009,5850
SUNSHINE COAST,2010,6601
SUNSHINE COAST,2011,6237
SUNSHINE COAST,2012,5443
SUNSHINE COAST,2013,5960
