AIRPORT,Year,Month,INBOUND DOM,OUTBOUND DOM,INBOUND INTERNAT,OUTBOUND INTERNAT,Domestic Total,International Total
ADELAIDE,2009,1,259510,258122,25145,19968,517632,45113
ADELAIDE,2009,2,234778,232142,21389,14795,466920,36184
ADELAIDE,2009,3,280441,284820,19466,18154,565261,37620
ADELAIDE,2009,4,274359,281163,20087,21353,555522,41440
ADELAIDE,2009,5,258273,258930,17085,19321,517203,36406
ADELAIDE,2009,6,242263,242610,17680,19449,484873,37129
ADELAIDE,2009,7,269949,272217,24152,21200,542166,45352
ADELAIDE,2009,8,269480,269355,20859,19768,538835,40627
ADELAIDE,2009,9,264127,267734,22039,22699,531861,44738
ADELAIDE,2009,10,284313,277153,26544,20496,561466,47040
ADELAIDE,2009,11,264644,266874,21906,21543,531518,43449
ADELAIDE,2009,12,262735,264356,21402,24899,527091,46301
ADELAIDE,2010,1,260489,258574,26569,22236,519063,48805
ADELAIDE,2010,2,251775,248044,21576,16706,499819,38282
ADELAIDE,2010,3,292054,294892,22086,20609,586946,42695
ADELAIDE,2010,4,290702,296008,22393,23027,586710,45420
ADELAIDE,2010,5,269597,272381,18231,21100,541978,39331
ADELAIDE,2010,6,260162,264413,19742,21699,524575,41441
ADELAIDE,2010,7,293548,297128,25332,21846,590676,47178
ADELAIDE,2010,8,283786,283560,21613,21756,567346,43369
ADELAIDE,2010,9,282205,287767,23201,22552,569972,45753
ADELAIDE,2010,10,313687,301158,27111,19830,614845,46941
ADELAIDE,2010,11,283723,284665,22317,21729,568388,44046
ADELAIDE,2010,12,292916,295017,23166,25965,587933,49131
ADELAIDE,2011,1,275339,273902,26556,22938,549241,49494
ADELAIDE,2011,2,253474,247288,22587,17514,500762,40101
ADELAIDE,2011,3,293734,295355,21787,21351,589089,43138
ADELAIDE,2011,4,282981,286574,22983,25799,569555,48782
ADELAIDE,2011,5,273748,274350,21287,24027,548098,45314
ADELAIDE,2011,6,237077,237976,21671,22929,475053,44600
ADELAIDE,2011,7,273786,277032,28138,25253,550818,53391
