AIRPORT,Year,Month,INBOUND DOM,OUTBOUND DOM,INBOUND INTERNAT,OUTBOUND INTERNAT
ADELAIDE,2009,1,259510,258122,25145,19968
ADELAIDE,2009,2,234778,232142,21389,14795
ADELAIDE,2009,3,280441,284820,19466,18154
ADELAIDE,2009,4,274359,281163,20087,21353
ADELAIDE,2009,5,258273,258930,17085,19321
ADELAIDE,2009,6,242263,242610,17680,19449
ADELAIDE,2009,7,269949,272217,24152,21200
ADELAIDE,2009,8,269480,269355,20859,19768
ADELAIDE,2009,9,264127,267734,22039,22699
ADELAIDE,2009,10,284313,277153,26544,20496
ADELAIDE,2009,11,264644,266874,21906,21543
ADELAIDE,2009,12,262735,264356,21402,24899
ADELAIDE,2010,1,260489,258574,26569,22236
ADELAIDE,2010,2,251775,248044,21576,16706
ADELAIDE,2010,3,292054,294892,22086,20609
ADELAIDE,2010,4,290702,296008,22393,23027
ADELAIDE,2010,5,269597,272381,18231,21100
ADELAIDE,2010,6,260162,264413,19742,21699
ADELAIDE,2010,7,293548,297128,25332,21846
ADELAIDE,2010,8,283786,283560,21613,21756
ADELAIDE,2010,9,282205,287767,23201,22552
ADELAIDE,2010,10,313687,301158,27111,19830
ADELAIDE,2010,11,283723,284665,22317,21729
ADELAIDE,2010,12,292916,295017,23166,25965
ADELAIDE,2011,1,275339,273902,26556,22938
ADELAIDE,2011,2,253474,247288,22587,17514
ADELAIDE,2011,3,293734,295355,21787,21351
ADELAIDE,2011,4,282981,286574,22983,25799
ADELAIDE,2011,5,273748,274350,21287,24027
ADELAIDE,2011,6,237077,237976,21671,22929
ADELAIDE,2011,7,273786,277032,28138,25253
ADELAIDE,2011,8,263100,263060,25653,24324
ADELAIDE,2011,9,262527,261455,25906,25166
ADELAIDE,2011,10,278028,273082,28930,23095
ADELAIDE,2011,11,264907,266632,24604,23324
ADELAIDE,2011,12,262361,260566,26035,31216
ADELAIDE,2012,1,258727,260757,34486,27251
ADELAIDE,2012,2,250287,241533,26957,20520
ADELAIDE,2012,3,277032,282302,25746,25886
ADELAIDE,2012,4,264048,267193,25399,26317
ADELAIDE,2012,5,261753,264360,20661,24575
ADELAIDE,2012,6,243743,249972,23206,26101
ADELAIDE,2012,7,275669,269885,31466,24802
ADELAIDE,2012,8,263168,265243,24624,24733
ADELAIDE,2012,9,269802,270676,27126,27912
ADELAIDE,2012,10,287626,281100,30722,22970
ADELAIDE,2012,11,285081,283544,28453,30172
ADELAIDE,2012,12,271564,271750,31996,37996
ADELAIDE,2013,1,262467,266159,39912,30336
ADELAIDE,2013,2,245055,237296,32894,25038
ADELAIDE,2013,3,282049,284894,30633,30591
ADELAIDE,2013,4,280700,287113,30059,33507
ADELAIDE,2013,5,259610,263814,25232,29676
ADELAIDE,2013,6,249959,247004,27642,30977
ADELAIDE,2013,7,285287,290626,38906,33858
ADELAIDE,2013,8,269836,269808,33245,31092
ADELAIDE,2013,9,272655,272652,34517,35056
ADELAIDE,2013,10,306551,300868,39954,28567
ADELAIDE,2013,11,279869,279000,34066,34016
ADELAIDE,2013,12,291204,289813,39818,49993
ADELAIDE,2014,1,277737,278835,53530,41795
ADELAIDE,2014,2,253235,250818,40484,29320
ADELAIDE,2014,3,287307,293996,35407,35805
ADELAIDE,2014,4,283121,285267,39176,42911
ADELAIDE,2014,5,266981,269417,34798,39547
ADELAIDE,2014,6,260567,255415,35861,44801
ADELAIDE,2014,7,284112,289631,51507,44103
ADELAIDE,2014,8,280822,280400,41013,39796
ADELAIDE,2014,9,276540,280913,39785,40956
ADELAIDE,2014,10,319150,311531,44279,35206
ADELAIDE,2014,11,279539,279238,33966,35010
ADELAIDE,2014,12,295383,291644,38989,49220
ADELAIDE,2015,1,271005,273323,50816,40325
ADELAIDE,2015,2,255345,248620,38274,30765
ADELAIDE,2015,3,291956,293217,34114,36696
ADELAIDE,2015,4,291914,294232,33223,37246
ADELAIDE,2015,5,270553,272195,31243,36424
ADELAIDE,2015,6,252967,252494,32695,37826
